utt,sample_id,token_match,event_match,steady_token_match,final_token_len,event_len
372,36697f75-ed07-deab-0af8-e84f7fca5c85,True,True,True,59,28
373,5664472b-02d4-7a5f-de40-2a8efe0e93d0,True,True,True,60,33
374,dd2f59f5-3d1b-4150-1769-b701aba5c0b0,True,True,True,19,11
375,b89c1e49-c327-084f-701c-9380f991c1cd,True,True,True,70,38
376,38c4ef9e-5ace-733e-5a6f-f5c735645ea9,True,True,True,54,35
377,cfd6981d-e8ce-08f1-b536-e8625d983775,True,True,True,59,35
378,b74ca0a8-a9ca-62a3-e048-6109a316f10b,True,True,True,62,40
379,2c99c6a8-f29e-25eb-4618-ece1a168fc4c,True,True,True,68,34
380,f948d20f-d3e2-4b18-ab5e-241588700b69,True,True,True,33,17
381,1c52c26d-0fd2-4601-129c-091ab83778f9,True,True,True,18,9
382,76cf8613-9476-a79a-e501-b6192750d7b4,True,True,True,10,8
383,6e24fa9e-09b6-923a-1e4a-006e1583b54e,True,True,True,21,11
384,f7e68462-c391-0b47-430f-968b79e87d9e,True,True,True,79,42
385,0c674502-a325-83f1-db9f-084c6203d727,True,True,True,52,26
386,52d9ce91-b50d-0478-0cb6-5e72b6e4138c,True,True,True,55,29
387,d5a52563-fbc6-b3f7-68a2-115179e0487c,True,True,True,69,34
388,87a2a8fd-2dee-0394-cf58-0642d848f0d4,True,True,True,55,31
389,37e5d611-c4b4-1889-c1e6-eb89af64a4a8,True,True,True,19,12
390,b69d24a0-c2c3-0dd0-e7bd-a14e7307df89,True,True,True,16,9
391,d4c0818c-1ffa-8cdf-452b-bbc448e21413,True,True,True,12,8
392,cf699da0-336b-d793-ad8d-66780c3b4ff3,True,True,True,24,14
393,f9579e62-7126-6971-136c-255df03ef00d,True,True,True,63,37
394,307fd45a-ef7c-ba37-d787-cf9fd30b652e,True,True,True,62,40
395,f20c8ce5-04d3-9cf0-9fcb-46beabb0a1fe,True,True,True,10,4
396,2ae215a0-0d47-e55c-e710-0c0432dfc81f,True,True,True,73,41
397,ec3d261f-eb34-fb17-fb79-fdfe68489cce,True,True,True,64,38
398,4dd8ed07-34a1-1432-1779-3379378db5c4,True,True,True,57,35
399,d905ce5f-fb77-188c-4276-fc5415d82be7,True,True,True,21,12
400,8c93c70d-3c3c-f70e-72a0-8a8fb9c9e7e7,True,True,True,70,34
401,8d97f8b2-aa82-5d29-3880-ab383014d451,True,True,True,70,39
402,cd3ae7f3-602b-7964-03c2-3858126ec27e,True,True,True,82,40
403,436a2a74-659b-73ba-d599-6a742e6d1c61,True,True,True,68,35
404,a9cff83d-43a1-4e6e-3800-bd1ee8efef93,True,True,True,29,11
405,1c04cd73-9e4e-0171-cd11-4ef5b93e086b,True,True,True,52,31
406,7e37595c-0d09-be9b-e4e6-8a212d22dcbd,True,True,True,11,8
407,e2ae1ae0-2b0a-1716-1c7b-3715e31a52e5,True,True,True,72,39
408,d3b48654-4755-9103-b899-f4aceeb882b6,True,True,True,70,36
409,c34b4371-656b-9734-89c0-6e6834315ef8,True,True,True,66,37
410,864f1052-c11d-0a97-3627-b365f55c9b32,True,True,True,56,31
411,17875864-af63-ae82-19dc-f6b4dd969d78,True,True,True,62,33
412,2da2b115-7a9f-735e-8358-2b42f199545d,True,True,True,66,32
413,68b96b2b-547e-2e8c-d305-b4fc517c0b3e,True,True,True,64,32
414,47124307-551e-2902-9a53-b64e14198b52,True,True,True,12,7
415,4f7290d7-7905-bee5-45ff-3701c6910da0,True,True,True,50,29
416,be3cab62-c45c-79e6-eb8a-6e728f2b1ec6,True,True,True,9,6
417,aa390aa9-bc21-52a3-fda8-a80ea25bc4fa,True,True,True,13,9
418,3f052634-a134-c162-aa95-ac77dcd985c4,True,True,True,60,35
419,366a995b-7fa5-d8d5-cf79-4cb34fc19abd,True,True,True,19,11
420,59c549a4-b15d-031e-7591-b0404028067d,True,True,True,74,42
421,50c0f887-fbc4-f801-a40c-dc4dcf5cdc5a,True,True,True,59,29
422,413064c8-bf12-0a75-2f5e-2ce6dc84c54d,True,True,True,63,36
423,93e782f0-a496-24ff-fb80-0baff94e8e17,True,True,True,61,33
424,9e314e45-aaac-9ea6-3d36-8f1a5a2cb8cb,True,True,True,68,37
425,4c5c2147-ef50-6aab-f543-6cc57b92b1a0,True,True,True,11,5
426,ac83cb3b-d328-12c7-a4f7-ae54ce286ede,True,True,True,23,13
427,7809fac2-f750-c347-ea7f-94f921214d43,True,True,True,39,22
428,2c4d0c58-1cc5-3a2c-dc5d-69667f6d006f,True,True,True,21,14
429,e0f12416-094f-17a2-2778-fee521695945,True,True,True,21,11
430,bcf8bb7f-0a3d-55bf-7238-313630e59811,True,True,True,64,39
431,2ffced33-22be-330a-0c2f-f8fd2498b764,True,True,True,27,16
432,f3df91ca-1165-47a1-fa93-7c8b5a74caaa,True,True,True,27,14
433,6d8da669-6248-d9ff-d0c5-f6ce33b10844,True,True,True,66,36
434,87c3129e-7168-364b-8f2c-49518aec0b68,True,True,True,22,11
435,315d1998-9596-f6ef-ca47-4f02d4e8556c,True,True,True,63,33
436,4e182b4c-2e30-d874-820f-a8834b42e488,True,True,True,62,31
437,264b6f1c-9b47-888f-996d-0d44b36f67ed,True,True,True,66,37
438,44b9bd6b-3e29-cd25-2973-ba9f3810a4ae,True,True,True,66,38
439,dfc4b607-9e24-0363-46b9-7752218e567e,True,True,True,66,37
440,b9abf1fc-d8cf-c312-c964-e5be4b3f7e3d,True,True,True,57,31
441,ba806c06-3228-c663-7f14-d573a8c211b8,True,True,True,70,35
442,4077ccf0-1211-d2d3-1a71-278e5b25663a,True,True,True,23,15
443,812f9e12-f153-57ad-facc-58f9101c8b72,True,True,True,44,23
444,12a3d4b1-bf6b-722b-c5be-a79ef5c182e0,True,True,True,64,36
445,a818397b-4003-9330-0b62-43b510774837,True,True,True,56,28
446,d0fa4135-897b-6621-0ca4-3cae7abac694,True,True,True,63,37
447,518aa244-a649-7791-b2e9-0b0989163212,True,True,True,72,36
448,9ce5fdfc-b0d5-2633-0964-f826672a43de,True,True,True,73,37
449,2854461e-c4b1-061e-737a-099dbc6abc2d,True,True,True,21,11
450,d63ff87d-8dcd-d815-31dc-2d94bc8858a7,True,True,True,16,8
451,2d3bc042-48a3-7076-5590-8fb1cf313403,True,True,True,64,32
452,81c7a2c5-0fa9-bc71-da23-8b10421239f3,True,True,True,18,10
